"name","street","city","zip","email"
"Obecný úrad Ipeľský Sokolec","č. 119","Ipeľský Sokolec",93575,"sokolec@ba.psg.sk"
"Matrika Marianka","Školská 32","Marianka",90033,"starosta@marianka.sk"
"Obecný úrad Pavlice","č. 146","Pavlice",91942,"obecpavlice@golemtech.sk"
"Matrika Habovka","č. 226","Habovka",2732,"matrika@habovka.sk"
"Matrika Vrakúň","Hlavná 622","Vrakúň",93025,"matrika@vrakun.sk"
"Mestský úrad Poltár","Železničná 489","Poltár",98701,"mesto@poltar.sk"
"Matrika Košťany nad Turcom","č. 64","Košťany nad Turcom",3841,"starosta@kostanynadturcom.sk"
"Sociálna poisťovňa, pobočka Nové Zámky","Nám. G. Széchényiho 10","Nové Zámky",94058,"novezamky@socpoist.sk"
"Matrika Stupava","Hlavná 1","Stupava",90031,"primator@stupava.sk"
"Obecný úrad Lendak","Obchodná 49","Lendak",5907,"obeclendak@stonline.sk"
"Obecný úrad Divinka","č. 142","Divinka",1331,"obec.divinka@gmail.com"
"Obvodný úrad Košice v Košiciach - odbor všeobecnej vnútornej správy","Hroncova 13","Košice - Sever",4170,"prednosta@ke.vs.sk"
"Mestský úrad Trenčín","Mierové nám. 2","Trenčín",91164,"uher@trencin.sk"
"Obecný úrad Podzámčok","č. 23","Podzámčok",96261,"obec@podzamcok.sk"
"Matrika Čataj","Hlavná 333","Čataj",90083,"matrika@cataj.sk"
"Matrika Zalužice","č. 207","Zalužice",7234,"zaluzice@minet.sk"
"Obecný úrad Krásna Lúka","č. 138","Krásna Lúka",8273,"oukrasnaluka@stonline.sk"
"Obecný úrad Bučany","č. 269","Bučany",91928,"obec_bucany@centrum.sk"
"Obecný úrad Nižná Polianka","č. 47","Nižná Polianka",8636,"cundra.jan@post.sk"
"Obecný úrad Jakubovany","č. 21","Jakubovany",3204,"jakubovany@imafex.sk"
"Obecný úrad Vyšný Kazimír","č. 57","Vyšný Kazimír",9409,"ocu.vkazimir@stonline.sk"
"Obecný úrad Trnávka","č. 168","Trnávka",93032,"trnavka.ocu@centrum.sk"
"Obecný úrad Kokošovce","č. 76","Kokošovce",8252,"obeckokosovce@stonline.sk"
"Obecný úrad Stročín","č. 15","Stročín",8901,"strocin@pobox.sk"
"Obecný úrad Pažiť","č. 78","Pažiť",95803,"obecpazit@stonline.sk, pazit@pazit.eu"
"Obecný úrad Budča","Lhenická 33","Budča",96233,"obec@budca.sk"
"Matrika Liptovský Hrádok","Liptovský Hrádok","Liptovský Hrádok",3303,"sekre@lhr.sk"
"Obecný úrad Gregorovce","č. 88","Gregorovce",8266,"gregorovce@stonline.sk"
"Matrika Lednické Rovne","Nám. slobody 32","Lednické Rovne",2061,"s.savarova@lednickerovne.sk"
"Obecný úrad Prakovce","č. 333","Prakovce",5562,"prakovce@stonline.sk, starosta.prakovce@stonline.sk"
"Obecný úrad Varín","Nám. sv. Floriána 1","Varín",1303,"obecnyurad@varin.sk"
"Obecný úrad Turčianske Jaseno","č. 24","Turčianske Jaseno",3802,"obec.jaseno@stonline.sk"
"Obecný úrad Bretejovce","č. 84","Bretejovce",8203,"obec@bretejovce.sk"
"Obecný úrad Trenčianske Mitice","č. 164","Trenčianske Mitice",91322,"obecnyuradmitice@stonline.sk"
"Obecný úrad Veľké Ripňany","Poštová 461","Veľké Ripňany",95607,"velkeripnany@stonline.sk"
"Obecný úrad Svinice","Hlavná 75/3","Svinice",7637,"stav.urad@kralovskychlmec.sk"
"Obecný úrad Skároš","č. 91","Skároš",4411,"ocu.skaros@stonline.sk"
"Obecný úrad Tichý Potok","Tichý Potok 139","Tichý Potok",8274,"ocutichypotok@stonline.sk"
"Obecný úrad Dubno","č. 40","Dubno",98035,"dubno@gemer.org"
"Obecný úrad Jasenica","č. 130","Jasenica",1817,"jasenica@stonline.sk"
"Obecný úrad Rakovice","č. 42 ","Rakovice",92208,"rakovice@stonline.sk"
"Obecný úrad Radatice","č. 105","Radatice",8242,"obecradatice@onlinenet.sk"
"Matrika Trenčianske Teplice","M. R. Štefánika 31","Trenčianske Teplice",91451,"trentep@psg.sk"
"Obecný úrad Selec","č. 73","Selec",91336,"ocuselec@nextra.sk"
"Obecný úrad Lesenice","č. 113","Lesenice",99108,"lesenice@mail.t-com.sk"
"Obecný úrad Veľké Slemence","č. 106","Veľké Slemence",7677,"nagyszelmenc@stonline.sk"
"Obecný úrad Nechválova Polianka","č. 12","Nechválova Polianka",6733," nechvalovapolianka@thelocalchannel.co.uk"
"Mestský úrad Nová Dubnica","Trenčianska 45/41","Nová Dubnica",1851,"msu@novadubnica.sk"
"Obecný úrad Sikenička","č. 210","Sikenička",94359,"ocu.sikenicka@stonline.sk"
"Matrika Lehota ","č. 16","Lehota ",95136,"hargasova@lehota.sk"
"Obecný úrad Budiš","č. 7","Budiš",3823,"uobecny@gaya.sk"
"Obecný úrad Rohožník","č. 1","Rohožník",9407,"jzelipsky@pobox.sk"
"Obecný úrad Padarovce","č. 3","Padarovce",98023,"ocu.padarovce@rsnet.sk"
"Obecný úrad Klieština","č. 45","Klieština",1802,"kliestina@pegonet.sk, kliestina@stonline.sk"
"Mestský úrad Spišské Vlachy","Nám. SNP 34","Spišské Vlachy",5361,"msuspv@spisskevlachy.sk"
"Matrika Holíč","Bratislavská 5","Holíč",90851,"primator@holic.sk"
"Obecný úrad Krivany","Záhradná 46","Krivany",8271,"obec@krivany.sk, starosta@krivany.sk"
"Obecný úrad Sľažany","Dlhá 90","Sľažany",95171,"obecslazany@stonline.sk"
"Matrika Porúbka","č. 151","Porúbka",7261,"obec@porubka.sk"
"Obecný úrad Liptovské Matiašovce","č. 79","Liptovské Matiašovce",3223,"lmatiasovce@citycom.sk"
"Obecný úrad Klčov","č. 112","Klčov",5302,"obec.klcov@spisnet.sk"
"Daňový úrad Veľký Meder","Nám. Mládeže 28","Veľký Meder",93201,"du.vm@tt.drsr.sk"
"Obecný úrad Veľká Lodina","č. 48","Veľká Lodina",4481,"velkalodina@stonline.sk"
"Obecný úrad Hažín","č. 126","Hažín",7234,"hazin@lekosonline.sk"
"Matrika Chorvátsky Grob","M. Urbana 6","Chorvátsky Grob",90025,"chorvatskygrob@stonline.sk"
"Obecný úrad Horné Lefantovce","Farská 25","Horné Lefantovce",95145,"obecnyuradhornelefantovce@stonline.sk"
"Mestský úrad Svätý Jur","Prostredná 29","Svätý Jur",90021,"msu@svatyjur.sk"
"Nemocnica s poliklinikou","Slovenská 11/A","Nové Zámky",94034,"email@nspnz.sk"
"Mestský úrad Šurany","Nám. hrdinov 1","Šurany",94201,"primator@surany.sk"
"Obecný úrad Blahová","č. 136","Blahová",93052,"obecblahova@stonline.sk"
"Obecný úrad Kobeliarovo","č. 78","Kobeliarovo",4923,"obec.kobeliarovo@stonline.sk"
"Obecný úrad Cestice","č. 89","Cestice",4471,"ocu-cestice@stonline.sk"
"Obecný úrad Dvorníky","č. 428","Dvorníky",92056,"obecdvorniky@stonline.sk"
"Matrika Žiar nad Hronom","Š.Moyzesa 46","Žiar nad Hronom",96501,"matrika@ziar.sk"
"Obecný úrad Dedinky","č. 80","Dedinky",4973,"obecnyurad.dedinky@stonline.sk"
"Obecný úrad Zvončín","č. 82","Zvončín",91901,"ouzvoncin@stonline.sk"
"Obecný úrad Porúbka","č. 90","Porúbka",6741,"porubka.humenne@gmail.com"
"Obecný úrad Fačkov","č. 69","Fačkov",1315,"fackov@rajec.net, fackov@stonline.sk"
"Obecný úrad Jamník","č. 192","Jamník",3301,"obecjamnik@magnetcity.sk"
"Obecný úrad Nižná Hutka","Ortášská 85","Nižná Hutka",4018,"obecniznahutka@netkosice.sk"
"Matrika Janova Lehota","č. 37","Janova Lehota",96624,"janova.lehota@stonline.sk"
"Obecný úrad Kolárovice","č. 389","Kolárovice",1354,"obeckolarovice@stonline.sk"
"Matrika Uhorské","č. 8","Uhorské",98525,"ou-uhorske@stonline.sk"
"Obecný úrad Čaklov","č. 108","Čaklov",9435,"ocu.caklov@slovanet.sk"
"Matrika Dunajská Streda","Hlavná 50/16","Dunajská Streda",92901,"sekretariat@dunstreda.sk"
"Obecný úrad Nemce","Lúčna 52","Nemce",97401,"obec@nemce.sk"
"Obecný úrad Klubina","č. 67","Klubina",2304,"ou.klubina@stonline.sk"
"Obecný úrad Lopušné Pažite","č. 102","Lopušné Pažite",2336,"obeclopusnepazite@mail.t-com.sk"
"Obecný úrad Kojatice","č. 200","Kojatice",8232,"obec_kojatice@stonline.sk"
